id,sentence,options,word_id
1,The owner of the pet store % a passion for animals and has created a welcoming environment for pet lovers.,have|has,2
2,"Customers % been visiting the store regularly, seeking advice on pet care and looking for the perfect companion.",have|has,1
3,"Recently, the store % received a shipment of exotic birds that have attracted a lot of attention.",have|has,2
4,"As a result, many families % adopted these colorful birds, bringing vibrant energy to their homes.",have|has,1
5,One customer has a particular interest in reptiles and % been inquiring about different species available in the store.,have|has,2
6,"The knowledgeable staff % provided detailed information about various reptiles, helping the customer make an informed decision.",have|has,2
7,A group of kids % fallen in love with a playful litter of puppies.,have|has,1
8,Their parents have decided to % a family meeting to discuss adopting one.,have|has,1
9,The store % organized a pet care workshop where experienced trainers have shared valuable tips on grooming and training furry friends.,have|has,2
10,I have a shopping list with all the ingredients for tonight's dinner.,have|has|having,1
11,He has a cart filled with fresh vegetables and meat.,have|has|having,2
12,I have a coupon for a discount on cereal.,have|has|having,1
13,He has already paid for his groceries.,have|has|having,2
14,I'm having trouble finding the pasta aisle. Can you help me?,have|has|having,3
15,"Sure, I have some extra coupons if you need them.",have|has|having,1
16,The cashier is having a busy day today.,have|has|having,3
17,"I have a loyalty card, so I'll be saving some money on this purchase.",have|has|having,1
18,I'm having a great time discovering new products.,have|has|having,3
19,She has received a complimentary gift for being a loyal customer.,have|has|having,2
20,I have been researching different car models for weeks.,have|has|having|had,
21,The new model has impressive fuel efficiency ratings.,have|has|having|had,
22,I'm having difficulty deciding between the red and blue cars.,have|has|having|had,
23,Having a test drive will help you make a better decision.,have|has|having|had,
24,"Last year, I had a compact car, but it was time for an upgrade.",have|has|having|had,
25,The dealership had a special offer that made the decision easier.,have|has|having|had,
26,I had a great experience with the sales team.,have|has|having|had,
27,We have a financing option that suits your budget.,have|has|having|had,
28,"After having a thorough inspection, I decided to go with the blue car.",have|has|having|had,
29,Congratulations! You've had an excellent choice.,have|has|having|had,
30,Mark % an excellent job managing the team's projects. His dedication is truly remarkable.,do|does,6
31,% it align with our goals?,do|does,6
32,"Sarah, what % you think about the new project proposal?",do|does,5
33,"The team % their best to meet deadlines, and everyone appreciates their collective effort.",do|does,6
34,"John, could you % me a favor and review these documents before the meeting?",do|does,5
35,Emily % a fantastic job handling customer inquiries and ensuring client satisfaction.,do|does,6
36,"What % you think, Mike? ",do|does,5
37,% this strategy align with the company's vision for the future?,do|does,6
38,The marketing team % a weekly brainstorming session to generate innovative ideas for upcoming campaigns.,do|does,6
39,"Andrea, could you % a quick check on the inventory levels? We need to order more supplies.",do|does,5
40,I do most of the coding for our projects.,do|does|doing,
41,He does an excellent job managing the team.,do|does|doing,
42,I'm doing some research on the latest software updates.,do|does|doing,
43,He does stay updated on industry trends.,do|does|doing,
44,I'm doing my best to meet the project deadline.,do|does|doing,
45,"He does handle pressure well, always delivering quality work.",do|does|doing,
46,I do appreciate your support during crunch time.,do|does|doing,
47,He does contribute significantly to the success of our projects.,do|does|doing,
48,I do regular maintenance on the space station's engines.,do|does|doing|done,
49,He does focus on ensuring the systems are functioning optimally.,do|does|doing|done,
50,We're doing a thorough check for any signs of wear and tear.,do|does|doing|done,
51,He does identify potential issues before they become serious.,do|does|doing|done,
52,I'm doing some adjustments to the communication antennas.,do|does|doing|done,
53,He does handle the technical aspects of the repairs seamlessly.,do|does|doing|done,
54,We've done a complete overhaul of the navigation system.,do|does|doing|done,
55,He does work diligently to keep the station in top-notch condition.,do|does|doing|done,
